@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0, unlabeled}
@inputs At1, At2
@outputs Class
@data
0.969, 0.921, unlabeled
0.659, -0.057, unlabeled
0.621, 1.48, unlabeled
-1.01, -0.397, unlabeled
0.535, 0.504, unlabeled
-0.625, 1.38, unlabeled
0.369, 0.49, unlabeled
-1.12, -1.2, unlabeled
0.544, 1.41, unlabeled
-0.987, -0.735, unlabeled
-0.00329, -0.0777, unlabeled
0.0188, 0.0512, unlabeled
-1.52, -0.368, unlabeled
-1.08, -0.952, unlabeled
-1.52, -0.00335, unlabeled
-0.267, 1.37, unlabeled
-0.149, -1.2, unlabeled
-0.914, 0.425, unlabeled
-0.4, -1.37, unlabeled
-1.04, 1.04, unlabeled
2.12, 1.07, unlabeled
-0.415, -1.3, unlabeled
0.44, 1.16, unlabeled
-0.268, -1.52, unlabeled
-1.74, 0.975, unlabeled
-0.182, -1.54, unlabeled
-1.71, -1.27, unlabeled
-1.97, -0.271, unlabeled
0.479, 1.48, unlabeled
1.58, 0.206, unlabeled
-1.31, 1.25, unlabeled
-0.785, -1.11, unlabeled
-0.55, 0.236, unlabeled
-0.752, 0.342, unlabeled
0.873, -1.03, unlabeled
-0.288, 0.305, unlabeled
1.13, -1.27, unlabeled
1.25, 1.2, unlabeled
0.612, 1.37, unlabeled
-1.53, -1.72, unlabeled
-0.702, -0.811, unlabeled
-1.02, -1.18, unlabeled
-0.739, -0.066, unlabeled
-0.424, 0.0207, unlabeled
-0.129, -0.061, unlabeled
0.133, -0.227, unlabeled
-0.218, -0.882, unlabeled
1.31, 1.62, unlabeled
1.34, -1.8, unlabeled
-0.693, 0.953, unlabeled
0.397, 0.513, unlabeled
0.21, -1.26, unlabeled
1.32, -0.616, unlabeled
-0.379, 0.638, unlabeled
0.72, 0.677, unlabeled
0.0345, -0.691, unlabeled
-0.206, -1.15, unlabeled
0.636, 0.756, unlabeled
0.227, 1.71, unlabeled
0.325, -0.153, unlabeled
1.19, 0.113, unlabeled
-0.639, -0.938, unlabeled
1.14, 0.866, unlabeled
1.16, 0.0489, unlabeled
-1.0, -0.885, unlabeled
-0.292, 1.32, unlabeled
-2.07, -0.521, unlabeled
-1.04, 0.679, unlabeled
-0.291, 0.561, unlabeled
0.54, -1.26, unlabeled
-1.34, 0.595, unlabeled
-1.54, -0.598, unlabeled
-1.87, -1.0, unlabeled
-1.12, -1.17, unlabeled
0.221, 0.147, unlabeled
0.235, -1.06, unlabeled
0.554, 1.19, unlabeled
0.0219, -0.388, unlabeled
0.569, -0.538, unlabeled
-0.633, 0.257, unlabeled
1.6, -0.183, unlabeled
0.443, 1.54, unlabeled
-0.177, -1.45, unlabeled
1.05, 0.219, unlabeled
-1.02, 0.521, unlabeled
1.27, -0.685, unlabeled
-1.02, 0.675, unlabeled
-0.612, -1.42, unlabeled
0.104, -1.04, unlabeled
1.02, -0.625, unlabeled
-0.74, -1.53, unlabeled
1.04, -1.17, unlabeled
-0.747, -0.509, unlabeled
-1.33, 0.719, unlabeled
-1.2, -1.04, unlabeled
1.14, 0.647, unlabeled
0.207, 0.0304, unlabeled
0.742, 0.744, unlabeled
-0.733, -1.34, unlabeled
0.0821, -0.398, unlabeled
-0.135, 0.136, unlabeled
-1.02, 0.899, unlabeled
1.62, -0.0187, unlabeled
-0.285, 1.39, unlabeled
0.589, 0.557, unlabeled
-0.776, -1.26, unlabeled
-0.37, 1.48, unlabeled
-1.26, -0.503, unlabeled
1.59, -0.378, unlabeled
-1.51, -1.39, unlabeled
1.41, 1.63, unlabeled
-1.1, 0.737, unlabeled
-1.61, -1.13, unlabeled
-0.844, 0.371, unlabeled
1.5, 0.0442, unlabeled
-0.636, 1.35, unlabeled
1.24, -1.33, unlabeled
0.521, 0.56, unlabeled
0.462, 1.89, unlabeled
-0.466, -0.851, unlabeled
-0.827, -0.506, unlabeled
0.84, -0.176, unlabeled
0.328, 0.553, unlabeled
0.713, 1.02, unlabeled
-0.867, 0.214, unlabeled
0.466, 0.322, unlabeled
0.0726, -1.31, unlabeled
-0.719, 0.242, unlabeled
-0.259, 1.34, unlabeled
-0.897, -1.04, unlabeled
0.179, 1.87, unlabeled
1.42, -1.1, unlabeled
0.673, 1.07, unlabeled
0.308, -1.06, unlabeled
-1.27, -0.273, unlabeled
0.724, 0.989, unlabeled
-0.455, 0.494, unlabeled
-0.0406, 2.09, unlabeled
-0.688, -1.14, unlabeled
1.44, 0.358, unlabeled
-0.521, 0.726, unlabeled
-0.687, -1.29, unlabeled
-1.03, 1.01, unlabeled
1.08, 0.0163, unlabeled
-1.29, -0.264, unlabeled
-0.138, -1.03, unlabeled
0.947, -0.888, unlabeled
-0.532, -0.179, unlabeled
-0.876, 0.232, unlabeled
-0.539, -1.21, unlabeled
0.143, -1.56, unlabeled
-0.663, -1.47, unlabeled
-0.336, 0.182, unlabeled
0.764, 0.381, unlabeled
-0.753, -1.25, unlabeled
1.05, -2.08, unlabeled
-0.566, -1.62, unlabeled
-0.495, -1.2, unlabeled
0.218, 1.32, unlabeled
-0.144, 1.68, unlabeled
1.46, -0.417, unlabeled
1.32, 0.218, unlabeled
0.314, -1.25, unlabeled
0.676, 0.925, unlabeled
-1.61, -0.363, unlabeled
-1.02, 0.849, unlabeled
0.678, 0.335, unlabeled
0.603, -0.108, unlabeled
0.799, 0.995, unlabeled
-0.595, 1.46, unlabeled
-0.753, -0.0615, unlabeled
0.45, 1.6, unlabeled
0.334, 1.04, unlabeled
-1.7, -1.79, unlabeled
-1.02, 0.883, unlabeled
1.24, -1.33, unlabeled
-0.668, -1.13, unlabeled
0.314, 1.84, unlabeled
-0.316, 0.177, unlabeled
-1.69, 0.614, unlabeled
1.79, 1.5, unlabeled
-0.972, -1.08, unlabeled
0.0209, -0.973, unlabeled
0.145, -0.626, unlabeled
-0.0814, 2.18, unlabeled
-0.96, 0.644, unlabeled
1.34, 1.37, unlabeled
-0.526, 1.26, unlabeled
-1.85, 0.545, unlabeled
1.38, 1.25, unlabeled
0.27, 0.696, unlabeled
-0.942, -1.15, unlabeled
-0.0254, -0.79, unlabeled
1.16, 1.05, unlabeled
-0.353, -0.836, unlabeled
0.826, 0.744, unlabeled
0.993, 0.397, unlabeled
-0.0203, 1.92, unlabeled
-0.734, 1.25, unlabeled
-1.46, -0.891, unlabeled
-0.104, 0.48, unlabeled
-0.012, 1.42, unlabeled
-0.172, -1.31, unlabeled
-1.17, 0.222, unlabeled
0.629, -0.617, unlabeled
-0.901, -1.13, unlabeled
-0.126, -1.67, unlabeled
1.17, 0.511, unlabeled
-0.211, -0.492, unlabeled
-1.64, 0.767, unlabeled
0.452, 1.95, unlabeled
0.819, 0.546, unlabeled
-0.724, -0.973, unlabeled
0.364, -0.858, unlabeled
1.44, 1.38, unlabeled
-0.567, -1.7, unlabeled
-1.89, -0.418, unlabeled
-1.77, -0.455, unlabeled
-1.28, -1.17, unlabeled
0.774, 0.617, unlabeled
-0.255, -0.142, unlabeled
-0.605, -1.52, unlabeled
0.184, 0.558, unlabeled
-0.0242, -1.28, unlabeled
0.317, -1.13, unlabeled
0.387, -6.53E-4, unlabeled
-0.866, -0.197, unlabeled
-1.81, -0.643, unlabeled
0.176, 1.94, unlabeled
-0.871, -0.825, unlabeled
0.44, 0.9, unlabeled
1.45, 0.211, unlabeled
-0.853, -1.17, unlabeled
-0.611, -1.28, unlabeled
0.719, 0.759, unlabeled
-1.2, 0.659, unlabeled
1.33, 1.7, unlabeled
-0.529, -1.02, unlabeled
0.121, 1.63, unlabeled
-0.394, -0.253, unlabeled
-1.74, 0.367, unlabeled
-0.446, -0.861, unlabeled
-0.278, -1.09, unlabeled
0.395, 1.35, unlabeled
-1.21, -0.392, unlabeled
-0.129, 0.877, unlabeled
-0.918, 1.13, unlabeled
0.611, 0.649, unlabeled
0.141, 0.0947, unlabeled
-0.0957, -1.06, unlabeled
1.64, 0.513, unlabeled
1.29, -1.43, unlabeled
0.0604, 1.64, unlabeled
1.01, 0.677, unlabeled
-0.451, -1.34, unlabeled
-0.677, -1.41, unlabeled
-0.645, -0.238, unlabeled
0.373, -1.17, unlabeled
1.47, -0.0578, unlabeled
1.29, 0.0437, unlabeled
-0.295, -1.22, unlabeled
1.33, -0.0802, unlabeled
-0.204, -1.54, unlabeled
-0.936, -1.5, unlabeled
1.6, -1.36, unlabeled
0.975, 0.809, unlabeled
-1.57, 0.629, unlabeled
-0.129, 1.57, unlabeled
1.88, -0.368, unlabeled
0.26, -0.54, unlabeled
0.32, -0.465, unlabeled
1.15, 0.565, unlabeled
-1.04, -1.24, unlabeled
-0.0381, -0.791, unlabeled
0.956, 0.558, unlabeled
0.576, -0.665, unlabeled
-0.223, -0.419, unlabeled
0.942, 0.248, unlabeled
-1.28, -0.00494, unlabeled
0.73, -0.37, unlabeled
1.97, -0.772, unlabeled
-0.455, 0.868, unlabeled
0.955, -0.0158, unlabeled
-0.103, 0.0369, unlabeled
0.344, 0.908, unlabeled
-0.473, -1.55, unlabeled
-1.47, 0.52, unlabeled
0.595, 0.677, unlabeled
0.216, 1.96, unlabeled
0.553, -0.817, unlabeled
0.243, 1.61, unlabeled
-0.45, -0.928, unlabeled
-1.65, -0.0692, unlabeled
-1.75, -1.92, unlabeled
0.0105, -1.26, unlabeled
0.463, 0.498, unlabeled
-0.945, -1.43, unlabeled
0.386, -0.997, unlabeled
0.207, -1.38, unlabeled
0.118, 0.13, unlabeled
0.247, -0.96, unlabeled
0.885, -0.372, unlabeled
-1.98, 0.345, unlabeled
1.19, -1.33, unlabeled
-1.78, 0.819, unlabeled
0.907, 0.191, unlabeled
-1.41, 1.14, unlabeled
1.63, -0.251, unlabeled
-1.13, 0.6, unlabeled
-0.391, 1.1, unlabeled
1.66, 0.672, unlabeled
-0.526, 1.19, unlabeled
1.33, -0.486, unlabeled
-1.77, -0.923, unlabeled
-1.01, 0.357, unlabeled
-0.136, -1.41, unlabeled
1.05, -0.96, unlabeled
0.446, -1.07, unlabeled
0.115, -0.443, unlabeled
-1.49, 0.744, unlabeled
2.42, 1.5, unlabeled
-0.813, -0.57, unlabeled
-0.0189, -1.28, unlabeled
-0.338, -0.91, unlabeled
0.603, 0.145, unlabeled
0.0951, -1.39, unlabeled
1.38, -1.36, unlabeled
0.802, 0.431, unlabeled
-0.279, -0.0928, unlabeled
-1.79, -0.124, unlabeled
-0.855, 1.22, unlabeled
0.627, 0.234, unlabeled
-1.08, 0.356, unlabeled
-1.25, 0.857, unlabeled
1.08, 0.378, unlabeled
0.0692, -0.828, unlabeled
-0.665, -1.04, unlabeled
-0.0662, -0.479, unlabeled
-0.219, 0.524, unlabeled
-1.06, -1.54, unlabeled
-0.0267, -1.09, unlabeled
0.953, -1.3, unlabeled
1.05, -0.655, unlabeled
1.31, -0.254, unlabeled
0.879, 1.03, unlabeled
1.29, -0.151, unlabeled
-1.06, -0.881, unlabeled
1.14, 0.376, unlabeled
-2.03, -1.65, unlabeled
1.09, -0.643, unlabeled
-0.23, -1.02, unlabeled
0.916, -0.0255, unlabeled
0.755, 0.22, unlabeled
0.416, 0.1, unlabeled
0.849, 0.907, unlabeled
1.36, -0.117, unlabeled
-0.918, -0.578, unlabeled
0.592, 1.15, unlabeled
-0.886, -1.27, unlabeled
-0.695, 1.08, unlabeled
-0.975, -0.273, unlabeled
-1.69, -1.87, unlabeled
-0.499, -0.766, unlabeled
-0.973, 0.495, unlabeled
0.608, 0.0135, unlabeled
-1.25, 0.512, unlabeled
0.294, -1.5, unlabeled
0.615, 0.558, unlabeled
-0.418, -1.26, unlabeled
-0.341, -0.0358, unlabeled
-1.53, 0.132, unlabeled
-0.0979, -1.01, unlabeled
-0.181, 0.344, unlabeled
-1.05, -0.832, unlabeled
1.29, 0.337, unlabeled
0.0343, -1.18, unlabeled
-0.0552, 0.882, unlabeled
-1.33, -0.647, unlabeled
-0.298, -0.823, unlabeled
-1.59, 0.913, unlabeled
0.41, 1.01, unlabeled
1.7, -0.0336, unlabeled
1.63, 0.475, unlabeled
0.991, -1.1, unlabeled
0.624, 1.1, unlabeled
1.05, -0.723, unlabeled
-0.0962, 0.19, unlabeled
-0.0618, 0.358, unlabeled
-0.397, -1.1, unlabeled
-0.276, 1.05, unlabeled
0.423, -0.334, unlabeled
1.02, 0.976, unlabeled
-1.51, -0.27, unlabeled
-0.892, 1.25, unlabeled
0.733, 0.926, unlabeled
-1.84, -1.23, unlabeled
-0.0677, 1.74, unlabeled
0.534, -0.763, unlabeled
0.933, -1.24, unlabeled
-1.8, 0.529, unlabeled
0.127, 1.22, unlabeled
-1.63, 0.101, unlabeled
-0.532, -1.17, unlabeled
0.663, 1.7, unlabeled
-1.81, -0.488, unlabeled
-0.121, -1.05, unlabeled
-0.115, -0.719, unlabeled
1.13, -1.75, unlabeled
1.07, -1.38, unlabeled
1.54, 1.75, unlabeled
-0.828, -0.839, unlabeled
1.01, -0.935, unlabeled
0.744, 1.42, unlabeled
0.29, -0.481, unlabeled
0.178, 1.49, unlabeled
0.335, 1.99, unlabeled
-0.496, 1.03, unlabeled
-0.398, -1.28, unlabeled
0.0949, -1.56, unlabeled
2.22, -2.04, unlabeled
-0.652, -1.1, unlabeled
-0.956, -0.77, unlabeled
-1.06, -1.24, unlabeled
0.415, -1.0, unlabeled
1.05, 0.776, unlabeled
0.465, 0.842, unlabeled
0.418, 0.616, unlabeled
1.16, -1.08, unlabeled
1.34, 1.44, unlabeled
0.769, 0.855, unlabeled
0.497, 2.23, unlabeled
-0.0547, -1.06, unlabeled
-0.829, 1.06, unlabeled
1.22, 1.13, unlabeled
0.915, -1.27, unlabeled
-1.18, -0.758, unlabeled
-1.01, 0.768, unlabeled
-0.422, -0.241, unlabeled
0.667, -1.01, unlabeled
1.27, -0.194, unlabeled
0.651, 0.744, unlabeled
1.15, 0.824, unlabeled
0.219, 1.59, unlabeled
0.552, 2.05, unlabeled
5.19E-4, 0.282, unlabeled
1.11, 0.431, unlabeled
-0.617, -0.792, unlabeled
-0.179, 0.19, unlabeled
1.46, 0.0665, unlabeled
1.17, -1.39, unlabeled
1.14, -0.209, unlabeled
-0.723, 0.633, unlabeled
0.521, -1.04, unlabeled
0.0662, 1.62, unlabeled
0.742, 1.56, unlabeled
0.575, 1.42, unlabeled
-1.34, -0.462, unlabeled
-1.42, -0.617, unlabeled
-0.921, 0.894, unlabeled
0.301, -1.29, unlabeled
0.513, 0.741, unlabeled
1.18, 1.25, unlabeled
1.37, 1.29, unlabeled
-1.18, 0.862, unlabeled
-0.112, 1.85, unlabeled
1.42, -0.32, unlabeled
-1.83, -0.746, unlabeled
-0.951, -1.33, unlabeled
-1.1, 0.811, unlabeled
0.0179, -1.01, unlabeled
-1.63, 0.279, unlabeled
-1.59, -1.36, unlabeled
1.41, -1.38, unlabeled
-0.999, 1.2, unlabeled
1.43, 0.57, unlabeled
1.16, 0.776, unlabeled
1.9, 1.27, unlabeled
1.2, -0.778, unlabeled
1.35, 0.472, unlabeled
1.57, 1.16, unlabeled
-0.0779, -0.967, unlabeled
0.284, 1.86, unlabeled
-1.55, 1.05, unlabeled
-2.14, -0.476, unlabeled
-0.935, 1.02, unlabeled
-0.0207, -1.14, unlabeled
-0.0468, -0.332, unlabeled
-1.66, -0.792, unlabeled
1.31, 0.118, unlabeled
-1.52, -1.4, unlabeled
1.71, -0.044, unlabeled
-0.376, 1.33, unlabeled
1.11, 0.989, unlabeled
0.257, 0.154, unlabeled
0.576, -0.342, unlabeled
-0.68, 1.68, unlabeled
-0.262, 1.28, unlabeled
-0.584, 1.01, unlabeled
0.151, 0.322, unlabeled
-0.283, 1.88, unlabeled
0.981, 0.0921, unlabeled
-0.314, 0.0194, unlabeled
0.706, 1.38, unlabeled
2.0, 1.28, unlabeled
-0.856, -0.235, unlabeled
-0.49, 1.25, unlabeled
0.736, 1.64, unlabeled
-0.156, -1.16, unlabeled
-0.146, -0.869, unlabeled
-1.06, 0.181, unlabeled
0.344, 1.38, unlabeled
0.271, -0.0382, unlabeled
0.409, -0.0572, unlabeled
0.769, 0.772, unlabeled
0.975, -1.34, unlabeled
0.42, 2.1, unlabeled
1.8, -1.0, unlabeled
-0.462, -0.707, unlabeled
1.28, 0.373, unlabeled
-0.322, -1.12, unlabeled
-0.96, 1.34, unlabeled
-1.35, -0.688, unlabeled
-0.553, -0.687, unlabeled
0.0296, 1.2, unlabeled
-1.04, 0.984, unlabeled
-1.19, 0.309, unlabeled
1.77, 0.109, unlabeled
0.515, 2.21, unlabeled
1.58, -0.468, unlabeled
0.149, -0.295, unlabeled
-1.89, -1.16, unlabeled
0.695, 0.651, unlabeled
1.08, -0.133, unlabeled
1.03, 0.0331, unlabeled
-0.695, -0.736, unlabeled
0.471, -0.445, unlabeled
-0.314, -0.919, unlabeled
0.0224, 1.43, unlabeled
-1.06, -0.937, unlabeled
-0.0845, 1.15, unlabeled
-0.439, -0.884, unlabeled
0.893, -0.327, unlabeled
2.13, 1.16, unlabeled
0.176, -1.11, unlabeled
0.328, 1.71, unlabeled
0.759, 0.0328, unlabeled
0.0114, 1.66, unlabeled
1.16, -1.24, unlabeled
0.675, 0.667, unlabeled
0.496, -0.614, unlabeled
0.0574, -0.134, unlabeled
0.8, 1.56, unlabeled
-1.31, 0.118, unlabeled
1.32, -0.331, unlabeled
-0.669, 0.51, unlabeled
-0.146, 0.132, unlabeled
1.08, 1.36, unlabeled
-1.07, 0.963, unlabeled
0.175, -0.345, unlabeled
0.707, -0.778, unlabeled
-2.14, -1.43, unlabeled
-1.42, 0.592, unlabeled
-0.907, 0.416, unlabeled
-0.0819, 1.64, unlabeled
-1.03, -0.422, unlabeled
-0.192, 1.04, unlabeled
-0.72, 0.189, unlabeled
-1.69, -0.176, unlabeled
-1.49, 0.228, unlabeled
1.17, 0.407, unlabeled
-1.02, -1.19, unlabeled
-0.924, -0.102, unlabeled
-0.629, -0.118, unlabeled
-1.22, 0.0836, unlabeled
-0.529, -1.22, unlabeled
1.16, 0.151, unlabeled
1.27, -0.573, unlabeled
1.07, 0.441, unlabeled
-0.852, -0.59, unlabeled
0.335, 1.95, unlabeled
-1.01, -0.363, unlabeled
1.12, 1.01, unlabeled
-1.67, -1.73, unlabeled
-1.08, -0.868, unlabeled
0.976, -1.53, unlabeled
-2.03, -1.23, unlabeled
0.45, -0.104, unlabeled
-0.565, -0.0822, unlabeled
0.379, 1.74, unlabeled
-1.05, 0.219, unlabeled
0.395, 1.21, unlabeled
-6.89E-4, 2.0, unlabeled
1.24, 0.908, unlabeled
-0.683, 1.38, unlabeled
-1.73, 0.87, unlabeled
0.149, 1.98, unlabeled
-0.0686, 1.72, unlabeled
1.22, -0.345, unlabeled
1.04, 0.816, unlabeled
-0.421, -1.09, unlabeled
-0.448, -0.354, unlabeled
1.26, -0.328, unlabeled
1.38, 0.749, unlabeled
-0.0839, 1.0, unlabeled
0.613, -0.0651, unlabeled
0.933, 1.21, unlabeled
-0.248, -1.69, unlabeled
-0.826, -0.966, unlabeled
-0.262, -1.2, unlabeled
-0.967, 1.22, unlabeled
-1.93, -0.92, unlabeled
-0.26, -1.23, unlabeled
-0.141, -0.797, unlabeled
0.902, -1.08, unlabeled
0.494, 1.18, unlabeled
-1.62, 0.102, unlabeled
-1.56, -0.172, unlabeled
-0.863, 0.496, unlabeled
-1.18, -0.522, unlabeled
-0.984, -0.807, unlabeled
-0.297, -0.467, unlabeled
-0.644, -0.78, unlabeled
-0.634, 1.65, unlabeled
0.698, -0.655, unlabeled
-1.4, 1.19, unlabeled
0.384, 2.15, unlabeled
1.16, 0.847, unlabeled
-0.988, -0.191, unlabeled
-1.31, -0.229, unlabeled
0.878, -0.856, unlabeled
0.402, -0.39, unlabeled
2.09, 1.1, unlabeled
0.0381, 0.167, unlabeled
-1.73, -1.32, unlabeled
0.812, -0.751, unlabeled
0.218, -0.368, unlabeled
1.54, -0.193, unlabeled
0.974, -1.47, unlabeled
-2.04, 0.131, unlabeled
0.0125, -0.665, unlabeled
-1.15, -0.508, unlabeled
-0.996, -0.984, unlabeled
0.927, -1.12, unlabeled
-0.721, 1.19, unlabeled
-0.24, 1.72, unlabeled
-1.11, 0.655, unlabeled
-1.5, -1.14, unlabeled
1.02, -0.261, unlabeled
-0.389, -1.2, unlabeled
1.27, 0.433, unlabeled
0.817, -0.941, unlabeled
0.563, 0.137, unlabeled
1.57, -0.0908, unlabeled
-0.724, -1.26, unlabeled
-0.731, -0.906, unlabeled
0.662, 1.49, unlabeled
-0.582, -0.752, unlabeled
0.98, -0.0439, unlabeled
-0.849, -0.187, unlabeled
-0.189, -1.24, unlabeled
-1.53, 0.658, unlabeled
-1.64, -1.91, unlabeled
0.83, -0.939, unlabeled
1.02, 0.729, unlabeled
0.527, -1.02, unlabeled
1.72, 0.0291, unlabeled
-0.239, -1.42, unlabeled
-1.43, 0.0281, unlabeled
0.449, 0.648, unlabeled
1.24, 0.828, unlabeled
0.0744, 1.04, unlabeled
-0.534, -1.23, unlabeled
-0.159, -0.12, unlabeled
0.417, -1.28, unlabeled
-0.596, -0.989, unlabeled
-0.214, -0.235, unlabeled
-0.652, -1.54, unlabeled
1.77, 1.35, unlabeled
0.808, -0.831, unlabeled
-1.43, -0.357, unlabeled
-0.507, 0.69, unlabeled
-0.139, 0.132, unlabeled
0.381, 1.61, unlabeled
0.101, 1.93, unlabeled
0.0496, -1.05, unlabeled
-0.579, 0.79, unlabeled
-0.738, 1.01, unlabeled
-1.19, -1.03, unlabeled
0.575, -0.19, unlabeled
1.68, -0.472, unlabeled
-1.26, -0.296, unlabeled
-0.655, -1.44, unlabeled
-0.0337, -1.36, unlabeled
0.281, -0.4, unlabeled
-1.01, -1.53, unlabeled
-0.158, -1.08, unlabeled
1.46, -0.0465, unlabeled
-0.55, -1.07, unlabeled
0.855, 0.959, unlabeled
-0.623, -0.737, unlabeled
-0.594, 1.24, unlabeled
0.83, 0.692, unlabeled
-0.891, 0.593, unlabeled
-1.14, 1.16, unlabeled
-0.0906, 2.01, unlabeled
0.378, -0.0609, unlabeled
0.728, 0.752, unlabeled
-1.58, 0.588, unlabeled
0.524, -0.648, unlabeled
-0.704, 0.71, unlabeled
-0.0388, -0.984, unlabeled
1.34, -0.0272, unlabeled
1.49, -0.886, unlabeled
-1.95, -0.16, unlabeled
1.19, -0.404, unlabeled
-0.367, -1.04, unlabeled
-0.148, -1.37, unlabeled
1.04, 0.93, unlabeled
-1.43, 1.25, unlabeled
-0.61, 0.00888, unlabeled
1.1, 1.58, unlabeled
-0.479, 0.91, unlabeled
-0.168, 1.32, unlabeled
-1.07, -1.11, unlabeled
2.29, 1.32, unlabeled
-0.0261, -1.38, unlabeled
0.917, 0.231, unlabeled
0.504, 1.78, unlabeled
-0.369, -0.965, unlabeled
-0.0633, -0.699, unlabeled
-1.01, -1.65, unlabeled
-0.162, -0.0223, unlabeled
0.604, -0.709, unlabeled
-0.419, 1.4, unlabeled
-1.42, -1.4, unlabeled
1.7, 0.0023, unlabeled
-0.768, 0.209, unlabeled
1.16, -0.768, unlabeled
-0.452, 0.524, unlabeled
0.701, 0.0237, unlabeled
-0.397, 0.563, unlabeled
0.157, -0.652, unlabeled
-1.51, -0.626, unlabeled
-0.529, -0.357, unlabeled
0.93, 0.65, unlabeled
-1.24, -0.0104, unlabeled
-1.15, 0.406, unlabeled
-0.18, 0.595, unlabeled
-0.973, 0.107, unlabeled
-1.99, -0.912, unlabeled
-1.24, -0.352, unlabeled
-0.613, 1.1, unlabeled
-0.58, -0.579, unlabeled
1.22, 1.48, unlabeled
0.704, -0.906, unlabeled
-0.33, 0.301, unlabeled
-1.2, 1.43, unlabeled
-0.451, 1.7, unlabeled
-1.51, -1.16, unlabeled
1.54, 1.24, unlabeled
-1.25, -1.14, unlabeled
0.265, -1.06, unlabeled
-0.801, 1.78, unlabeled
1.47, -2.05, unlabeled
0.379, 1.36, unlabeled
1.36, -0.412, unlabeled
-0.815, 0.334, unlabeled
1.14, -0.0771, unlabeled
0.823, 1.04, unlabeled
0.466, 0.281, unlabeled
0.377, 0.198, unlabeled
-1.01, 0.412, unlabeled
0.469, 1.91, unlabeled
-1.14, 0.0337, unlabeled
-0.407, 0.602, unlabeled
1.17, -1.4, unlabeled
-0.827, -0.757, unlabeled
0.35, 1.22, unlabeled
-1.46, 1.11, unlabeled
0.925, 0.895, unlabeled
0.16, 0.189, unlabeled
0.451, -0.00833, unlabeled
1.18, 0.0819, unlabeled
-0.0303, 2.11, unlabeled
-0.554, -0.38, unlabeled
-0.903, -0.0822, unlabeled
0.119, -1.28, unlabeled
-0.0601, 2.04, unlabeled
-0.595, 1.09, unlabeled
1.06, -0.453, unlabeled
0.726, 0.289, unlabeled
-0.109, -1.32, unlabeled
0.206, 1.19, unlabeled
-1.47, -0.212, unlabeled
-1.15, -0.545, unlabeled
-0.432, 1.13, unlabeled
-0.769, -1.46, unlabeled
-0.618, -0.506, unlabeled
0.729, 1.49, unlabeled
0.75, 1.92, unlabeled
-0.603, 1.3, unlabeled
-0.763, -0.573, unlabeled
0.501, 0.0553, unlabeled
-1.86, -1.78, unlabeled
0.518, 1.41, unlabeled
-0.542, 1.12, unlabeled
1.7, 1.21, unlabeled
-0.621, 1.52, unlabeled
-0.0253, 0.0742, unlabeled
-0.0554, -1.28, unlabeled
-0.19, 0.168, unlabeled
1.82, 1.43, unlabeled
-1.9, -1.1, unlabeled
-0.357, -0.944, unlabeled
1.06, -0.0531, unlabeled
0.587, 0.322, unlabeled
0.61, 0.488, unlabeled
-0.598, 1.22, unlabeled
0.778, 1.44, unlabeled
0.996, 1.04, unlabeled
0.427, 1.77, unlabeled
0.74, 1.2, unlabeled
0.335, -0.483, unlabeled
-0.173, 1.59, unlabeled
0.168, 1.7, unlabeled
-0.447, -1.0, unlabeled
1.51, 1.59, unlabeled
-1.06, -1.07, unlabeled
1.26, 0.305, unlabeled
-1.44, -0.225, unlabeled
1.37, -0.8, unlabeled
1.22, -0.0172, unlabeled
-1.01, -1.36, unlabeled
-0.9, 1.49, unlabeled
0.136, 1.46, unlabeled
0.367, -0.451, unlabeled
0.0586, -0.133, unlabeled
-0.259, 0.496, unlabeled
-0.711, 0.0759, unlabeled
-0.999, 0.906, unlabeled
0.745, 0.681, unlabeled
0.143, 1.05, unlabeled
0.0551, 1.34, unlabeled
-1.28, -0.542, unlabeled
0.617, 1.34, unlabeled
0.234, -0.822, unlabeled
1.1, 0.253, unlabeled
0.168, 0.345, unlabeled
2.64, 0.966, unlabeled
-1.1, 0.419, unlabeled
-2.13, 0.678, unlabeled
-0.463, -1.01, unlabeled
-0.83, -1.08, unlabeled
-0.172, -0.676, unlabeled
-1.51, 0.213, unlabeled
0.535, 1.99, unlabeled
-0.621, 1.16, unlabeled
1.27, 1.6, unlabeled
0.108, -0.304, unlabeled
1.4, 0.855, unlabeled
-0.566, -1.33, unlabeled
-0.215, -1.01, unlabeled
-0.439, 0.331, unlabeled
0.805, -0.237, unlabeled
-0.882, 1.29, unlabeled
-0.445, -1.24, unlabeled
0.522, 1.46, unlabeled
-1.15, 0.729, unlabeled
1.18, 0.585, unlabeled
1.74, 0.577, unlabeled
0.921, 1.12, unlabeled
-0.00145, -0.7, unlabeled
1.01, 1.53, unlabeled
1.24, -0.145, unlabeled
0.02, -1.54, unlabeled
-1.42, -1.28, unlabeled
0.409, 1.45, unlabeled
-1.23, -0.703, unlabeled
1.74, 0.964, unlabeled
-0.463, -1.2, unlabeled
0.195, -0.296, unlabeled
0.365, 0.632, unlabeled
0.799, -0.834, unlabeled
-0.0773, -1.22, unlabeled
-1.64, -0.962, unlabeled
-1.53, -0.466, unlabeled
-1.82, 0.885, unlabeled
-0.162, -0.334, unlabeled
